,Make,Model,Make.Model,Median.Total.Passengers,Capacity.Class,Sum.Total.Non-Fatal.Injuries,Sum.Total.Fatal.Injuries,Sum.Total.Passengers,Percent.Non-Fatal.Injuries,Percent.Fatal.Injuries
173,CESSNA,150,CESSNA 150,1.0,Small,313.0,93.0,1168.0,26.79794520547945,7.962328767123288
199,CESSNA,152,CESSNA 152,1.0,Small,610.0,361.0,3340.0,18.263473053892216,10.808383233532934
247,CESSNA,172,CESSNA 172,2.0,Small,649.0,252.0,3118.0,20.814624759461193,8.082103912764593
278,CESSNA,172M,CESSNA 172M,2.0,Small,424.0,221.0,1662.0,25.511432009626954,13.297232250300842
280,CESSNA,172N,CESSNA 172N,2.0,Small,532.0,389.0,2313.0,23.00043233895374,16.817985300475573
282,CESSNA,172P,CESSNA 172P,2.0,Small,321.0,220.0,1345.0,23.866171003717472,16.356877323420075
326,CESSNA,180,CESSNA 180,2.0,Small,143.0,97.0,1242.0,11.513687600644122,7.809983896940419
350,CESSNA,182,CESSNA 182,2.0,Small,272.0,126.0,1214.0,22.40527182866557,10.378912685337728
1400,BOEING,727-200,BOEING 727-200,71.0,Medium,36.0,0.0,1193.0,3.0176026823134956,0.0
1427,BOEING,737,BOEING 737,121.0,Medium,35.0,0.0,3412.0,1.0257913247362251,0.0
1428,BOEING,737-200,BOEING 737-200,82.0,Medium,38.0,0.0,1069.0,3.5547240411599623,0.0
1443,BOEING,737-300,BOEING 737-300,101.0,Medium,98.0,34.0,2153.0,4.551788202508128,1.5791918253599628
1466,BOEING,737-7H4,BOEING 737-7H4,136.0,Medium,11.0,0.0,1285.0,0.8560311284046693,0.0
1482,BOEING,7377H4,BOEING 7377H4,143.0,Medium,148.0,1.0,1655.0,8.942598187311178,0.060422960725075525
1489,BOEING,747-122,BOEING 747-122,348.0,Large,106.0,9.0,1348.0,7.863501483679524,0.6676557863501483
1493,BOEING,747-136,BOEING 747-136,343.5,Large,45.0,0.0,1424.0,3.160112359550562,0.0
1511,BOEING,747-400,BOEING 747-400,250.0,Large,8.0,0.0,1367.0,0.5852231163130944,0.0
1512,BOEING,747-422,BOEING 747-422,307.0,Large,10.0,0.0,1253.0,0.7980845969672785,0.0
1526,BOEING,757,BOEING 757,132.0,Medium,5.0,44.0,1921.0,0.2602811035918792,2.290473711608537
1528,BOEING,757-222,BOEING 757-222,152.0,Large,7.0,0.0,1465.0,0.477815699658703,0.0
1529,BOEING,757-223,BOEING 757-223,149.0,Medium,7.0,0.0,1013.0,0.6910167818361304,0.0
1532,BOEING,757-232,BOEING 757-232,148.0,Medium,45.0,0.0,2226.0,2.0215633423180592,0.0
1548,BOEING,767,BOEING 767,174.0,Large,71.0,3.0,1858.0,3.821313240043057,0.16146393972012918
1573,BOEING,777,BOEING 777,160.5,Large,7.0,0.0,1068.0,0.6554307116104869,0.0
1576,BOEING,777-222,BOEING 777-222,296.0,Large,10.0,0.0,1061.0,0.9425070688030159,0.0
1577,BOEING,777-223,BOEING 777-223,231.0,Large,9.0,0.0,1045.0,0.8612440191387559,0.0
1941,AIRBUS,A321,AIRBUS A321,187.5,Large,2.0,0.0,1075.0,0.18604651162790697,0.0
3598,MCDONNELL DOUGLAS,DC-10-10,MCDONNELL DOUGLAS DC-10-10,212.0,Large,220.0,111.0,2005.0,10.972568578553615,5.5361596009975065
3605,MCDONNELL DOUGLAS,DC-10-30,MCDONNELL DOUGLAS DC-10-30,223.0,Large,52.0,2.0,1133.0,4.5895851721094445,0.176522506619594
3658,MCDONNELL DOUGLAS,DC-9-82,MCDONNELL DOUGLAS DC-9-82,102.0,Medium,18.0,158.0,1262.0,1.4263074484944533,12.519809825673534
5360,MCDONNELL DOUGLAS,MD-11,MCDONNELL DOUGLAS MD-11,164.5,Large,216.0,2.0,1836.0,11.76470588235294,0.10893246187363835
5375,MCDONNELL DOUGLAS,MD-88,MCDONNELL DOUGLAS MD-88,100.0,Medium,21.0,2.0,1119.0,1.876675603217158,0.17873100983020554
5944,PIPER,PA-28-140,PIPER PA-28-140,2.0,Small,654.0,300.0,1844.0,35.46637744034707,16.268980477223426
5953,PIPER,PA-28-161,PIPER PA-28-161,2.0,Small,249.0,209.0,1144.0,21.765734265734267,18.269230769230766
5955,PIPER,PA-28-180,PIPER PA-28-180,2.0,Small,340.0,260.0,1253.0,27.134876296887473,20.75019952114924
5962,PIPER,PA-28-181,PIPER PA-28-181,2.0,Small,294.0,340.0,1293.0,22.73781902552204,26.295436968290797
